,KO,difference.deter.stocha,cat
456,K09949,-15.77522606,Others
457,K12373,-15.7733922,Others
458,K00655,-15.75279662,Others
459,K00794,-15.74433269,Cofactor & Vitamin
460,K00824,-15.71992834,Others
461,K03111,-15.69481866,Others
462,K09888,-15.69397227,Others
463,K03639,-15.6802889,Cofactor & Vitamin
464,K01626,-15.67154284,Carbon
465,K11754,-15.65757733,Cofactor & Vitamin
466,K03215,-15.65673094,Others
467,K08218,-15.63571217,Others
468,K00773,-15.63401939,Others
469,K03814,-15.61737365,Others
470,K07107,-15.61102569,Others
471,K13052,-15.57590035,Others
472,K01738,-15.57096305,Others
473,K06178,-15.54825149,Others
474,K00058,-15.54444272,Others
475,K18954,-15.53724838,Others
476,K00806,-15.52370608,Others
477,K02847,-15.51552427,Others
478,K15460,-15.51552427,Others
479,K11530,-15.51453681,Others
480,K07497,-15.51298509,Others
481,K00428,-15.50550862,Others
482,K01610,-15.48519517,Carbon
483,K03593,-15.43934884,Others
484,K01961,-15.43652753,Carbon
485,K07090,-15.43370621,Others
486,K06206,-15.41649621,Others
487,K01652,-15.41438022,Others
488,K00990,-15.38010128,Others
489,K00648,-15.37854956,Others
490,K03469,-15.37347121,Others
491,K03569,-15.35682545,Others
492,K00979,-15.35358095,Others
493,K13378,-15.3468098,ATP
494,K05527,-15.33157472,Others
495,K00088,-15.27952151,Others
496,K00162,-15.26753093,Carbon
497,K02963,-15.25878486,Others
498,K03606,-15.25159051,Others
499,K16264,-15.24764067,Others
500,K02825,-15.23254666,Others
501,K06020,-15.22126141,Others
502,K00859,-15.2008069,Cofactor & Vitamin
503,K03644,-15.18289157,Cofactor & Vitamin
504,K01175,-15.18035238,Others
505,K01940,-15.17922386,Others
506,K07823,-15.17047779,Others
507,K16694,-15.13746843,Others
508,K19755,-15.13563458,Others
509,K07071,-15.12322081,Others
510,K01924,-15.09049359,Others
511,K02557,-15.05099522,Others
512,K01069,-15.04097956,Others
513,K04719,-15.0313871,Others
514,K22474,-15.00218651,Others
515,K02575,-14.97623045,Others
516,K18009,-14.91853461,Others
517,K18139,-14.88199862,Others
518,K03579,-14.87494534,Others
519,K03742,-14.86902058,Others
520,K03797,-14.85618361,Others
521,K01929,-14.85477295,Others
522,K01448,-14.84066639,Others
