,KO,difference.deter.stocha,cat
4614,K20845,-0.35731919,Others
4615,K20951,-0.35731919,Others
4616,K20952,-0.35731919,Others
4617,K21189,-0.35731919,Others
4618,K21970,-0.35731919,Others
4619,K22212,-0.35731919,Others
4620,K23062,-0.35731919,Others
4621,K23337,-0.35731919,Others
4622,K23398,-0.35731919,Others
4623,K24034,-0.35731919,Others
4624,K24389,-0.35731919,Others
4625,K13985,-0.353510418,Others
4626,K23786,-0.34730353,Others
4627,K05550,-0.345046481,Others
4628,K07039,-0.34405903,Others
4629,K02570,-0.343635825,Others
4630,K10352,-0.343635825,Others
4631,K05833,-0.340814512,Others
4632,K09472,-0.340814512,Others
4633,K17995,-0.340814512,Others
4634,K21784,-0.340814512,Others
4635,K24436,-0.340814512,Others
4636,K00125,-0.339403857,Others
4637,K10553,-0.339403857,Others
4638,K13275,-0.339403857,Others
4639,K14699,-0.339403857,Others
4640,K15650,-0.339403857,Others
4641,K16552,-0.339403857,Others
4642,K18662,-0.339403857,Others
4643,K21286,-0.339403857,Others
4644,K01476,-0.33460762,Others
4645,K13507,-0.329952461,Others
4646,K12527,-0.328541805,Others
4647,K02351,-0.325720492,Others
4648,K03863,-0.325720492,Others
4649,K15060,-0.325720492,Others
4650,K03068,-0.324309836,Others
4651,K02631,-0.321488525,Others
4652,K08481,-0.321488525,Others
4653,K21284,-0.321488525,Others
4654,K23057,-0.321488525,Others
4655,K25578,-0.321488525,Others
4656,K01766,-0.320077868,Others
4657,K02681,-0.320077868,Others
4658,K04045,-0.320077868,Others
4659,K07788,-0.320077868,Others
4660,K10018,-0.320077868,Others
4661,K10191,-0.320077868,Others
4662,K11147,-0.320077868,Others
4663,K11260,-0.320077868,Others
4664,K12136,-0.320077868,Others
4665,K12460,-0.320077868,Others
4666,K15511,-0.320077868,Others
4667,K15548,-0.320077868,Others
4668,K16199,-0.320077868,Others
4669,K16233,-0.320077868,Others
4670,K17609,-0.320077868,Others
4671,K18087,-0.320077868,Others
4672,K18145,-0.320077868,Others
4673,K18236,-0.320077868,Others
4674,K24428,-0.320077868,Others
4675,K24552,-0.320077868,Others
4676,K10800,-0.31485844,Others
4677,K25154,-0.31485844,Others
4678,K25156,-0.31485844,Others
4679,K07458,-0.31387098,Others
4680,K00801,-0.313447785,Others
4681,K09967,-0.313447785,Others
4682,K00882,-0.309215816,Others
4683,K15576,-0.309215816,Others
4684,K00505,-0.30780516,Carbon
4685,K08323,-0.306394504,Carbon
4686,K20038,-0.304983848,Others
4687,K21802,-0.304983848,Others
4688,K06888,-0.30413746,Others
4689,K17838,-0.303573192,Others
4690,K05841,-0.302162536,Others
4691,K06639,-0.302162536,Others
4692,K07771,-0.302162536,Others
4693,K14167,-0.302162536,Others
4694,K16263,-0.302162536,Others
4695,K18723,-0.302162536,Others
4696,K19761,-0.302162536,Others
4697,K20391,-0.302162536,Others
4698,K22350,-0.302162536,Others
4699,K00028,-0.30075188,Carbon
4700,K00069,-0.30075188,Others
4701,K00213,-0.30075188,Others
4702,K00686,-0.30075188,Others
4703,K00725,-0.30075188,Others
4704,K00785,-0.30075188,Others
4705,K00885,-0.30075188,Others
4706,K00934,-0.30075188,Others
4707,K01219,-0.30075188,Others
4708,K01293,-0.30075188,Others
4709,K01405,-0.30075188,Others
4710,K02580,-0.30075188,Others
4711,K02755,-0.30075188,Others
4712,K03160,-0.30075188,Others
4713,K03162,-0.30075188,Others
4714,K03224,-0.30075188,Others
4715,K03804,-0.30075188,Others
4716,K04026,-0.30075188,Others
4717,K04218,-0.30075188,Others
4718,K04424,-0.30075188,Others
4719,K04496,-0.30075188,Others
4720,K04793,-0.30075188,Others
4721,K05298,-0.30075188,Carbon
4722,K05372,-0.30075188,Others
4723,K05401,-0.30075188,Others
4724,K05467,-0.30075188,Others
4725,K05502,-0.30075188,Others
4726,K05528,-0.30075188,Others
4727,K05535,-0.30075188,Others
4728,K06051,-0.30075188,Others
4729,K06059,-0.30075188,Others
4730,K06128,-0.30075188,Others
4731,K06159,-0.30075188,Others
4732,K06527,-0.30075188,Others
4733,K06769,-0.30075188,Others
4734,K07750,-0.30075188,Others
4735,K07779,-0.30075188,Others
4736,K07966,-0.30075188,Others
4737,K08045,-0.30075188,Others
4738,K08170,-0.30075188,Others
4739,K08479,-0.30075188,Others
4740,K08745,-0.30075188,Others
4741,K08778,-0.30075188,Others
4742,K08794,-0.30075188,Others
4743,K09884,-0.30075188,Others
4744,K10015,-0.30075188,Others
4745,K10016,-0.30075188,Others
4746,K10080,-0.30075188,Others
4747,K10104,-0.30075188,Others
4748,K10121,-0.30075188,Others
4749,K10160,-0.30075188,Others
4750,K10235,-0.30075188,Others
4751,K10444,-0.30075188,Others
4752,K10565,-0.30075188,Others
4753,K10681,-0.30075188,Others
4754,K10900,-0.30075188,Others
4755,K10953,-0.30075188,Others
4756,K11000,-0.30075188,Others
4757,K11060,-0.30075188,Others
4758,K11079,-0.30075188,Others
4759,K11201,-0.30075188,Others
4760,K11366,-0.30075188,Others
4761,K11833,-0.30075188,Others
4762,K11837,-0.30075188,Others
4763,K11988,-0.30075188,Others
4764,K12172,-0.30075188,Others
4765,K12202,-0.30075188,Others
4766,K12207,-0.30075188,Others
4767,K12221,-0.30075188,Others
4768,K12223,-0.30075188,Others
4769,K12265,-0.30075188,Others
4770,K12418,-0.30075188,Others
4771,K12447,-0.30075188,Carbon
4772,K13245,-0.30075188,Others
4773,K13513,-0.30075188,Others
4774,K13549,-0.30075188,Others
4775,K13662,-0.30075188,Others
4776,K13711,-0.30075188,Carbon
4777,K13719,-0.30075188,Others
4778,K14275,-0.30075188,Others
4779,K14424,-0.30075188,Others
4780,K14467,-0.30075188,Carbon
4781,K14469,-0.30075188,Carbon
4782,K14601,-0.30075188,Others
4783,K14668,-0.30075188,Others
4784,K14744,-0.30075188,Others
4785,K14863,-0.30075188,Others
4786,K14966,-0.30075188,Others
4787,K15038,-0.30075188,Carbon
4788,K15327,-0.30075188,Others
4789,K15469,-0.30075188,Others
4790,K15528,-0.30075188,Others
4791,K15655,-0.30075188,Others
4792,K15910,-0.30075188,Others
4793,K16006,-0.30075188,Others
4794,K16178,-0.30075188,Others
4795,K16181,-0.30075188,Others
4796,K16553,-0.30075188,Others
4797,K16674,-0.30075188,Others
4798,K16962,-0.30075188,Others
4799,K17046,-0.30075188,Others
4800,K17278,-0.30075188,Others
4801,K17307,-0.30075188,Others
4802,K17331,-0.30075188,Others
4803,K17776,-0.30075188,Others
4804,K17804,-0.30075188,Others
4805,K17862,-0.30075188,Others
4806,K17997,-0.30075188,Others
4807,K18031,-0.30075188,Others
4808,K18418,-0.30075188,Others
4809,K18552,-0.30075188,Others
4810,K18585,-0.30075188,Others
4811,K18782,-0.30075188,Others
4812,K18795,-0.30075188,Others
4813,K18942,-0.30075188,Others
4814,K19029,-0.30075188,Others
4815,K19057,-0.30075188,Others
4816,K19078,-0.30075188,Others
4817,K19113,-0.30075188,Others
4818,K19530,-0.30075188,Others
4819,K19542,-0.30075188,Others
4820,K19567,-0.30075188,Others
4821,K19766,-0.30075188,Others
4822,K19972,-0.30075188,Others
4823,K20079,-0.30075188,Others
4824,K20140,-0.30075188,Others
4825,K20241,-0.30075188,Others
4826,K20252,-0.30075188,Others
4827,K20260,-0.30075188,Others
4828,K20574,-0.30075188,Others
4829,K20715,-0.30075188,Others
4830,K20781,-0.30075188,Others
4831,K20945,-0.30075188,Others
4832,K21113,-0.30075188,Others
4833,K21239,-0.30075188,Others
4834,K21266,-0.30075188,Others
4835,K21283,-0.30075188,Others
4836,K21350,-0.30075188,Others
4837,K21355,-0.30075188,Others
4838,K21364,-0.30075188,Others
4839,K21555,-0.30075188,Others
4840,K21576,-0.30075188,Others
4841,K21712,-0.30075188,Others
4842,K21758,-0.30075188,Others
4843,K21817,-0.30075188,Others
4844,K22267,-0.30075188,Others
4845,K22351,-0.30075188,Others
4846,K22352,-0.30075188,Others
4847,K22364,-0.30075188,Others
4848,K22444,-0.30075188,Others
4849,K22459,-0.30075188,Others
4850,K22808,-0.30075188,Others
4851,K22889,-0.30075188,Others
4852,K23087,-0.30075188,Others
4853,K23241,-0.30075188,Others
4854,K23342,-0.30075188,Others
4855,K23364,-0.30075188,Others
4856,K23374,-0.30075188,Others
4857,K23375,-0.30075188,Others
4858,K23397,-0.30075188,Others
4859,K23495,-0.30075188,Others
4860,K23512,-0.30075188,Others
4861,K23721,-0.30075188,Others
4862,K23751,-0.30075188,Others
4863,K23946,-0.30075188,Others
4864,K24072,-0.30075188,Others
4865,K24100,-0.30075188,Others
4866,K24147,-0.30075188,Others
4867,K24272,-0.30075188,Others
4868,K24281,-0.30075188,Others
4869,K24359,-0.30075188,Others
4870,K24522,-0.30075188,Others
4871,K24719,-0.30075188,Others
4872,K24820,-0.30075188,Others
4873,K24848,-0.30075188,Others
4874,K24858,-0.30075188,Others
4875,K25188,-0.30075188,Others
4876,K16482,-0.296943109,Others
4877,K05793,-0.291300484,Others
4878,K10022,-0.289889827,Others
4879,K00029,-0.28890237,Carbon
4880,K12526,-0.288479171,Others
4881,K23150,-0.288479171,Others
4882,K01896,-0.28565786,Others
4883,K07682,-0.28565786,Others
4884,K22523,-0.28565786,Others
4885,K20418,-0.284247203,Others
4886,K25132,-0.284247203,Others
4887,K01076,-0.282836547,Others
4888,K02344,-0.282836547,Others
4889,K03200,-0.282836547,Others
4890,K06265,-0.282836547,Others
4891,K06530,-0.282836547,Others
4892,K08315,-0.282836547,Others
4893,K10109,-0.282836547,Others
4894,K10671,-0.282836547,Others
4895,K14192,-0.282836547,Others
4896,K15662,-0.282836547,Others
4897,K18005,-0.282836547,Others
4898,K19737,-0.282836547,Others
4899,K20170,-0.282836547,Cofactor & Vitamin
4900,K22112,-0.282836547,Others
4901,K22230,-0.282836547,Others
4902,K24307,-0.282836547,Others
4903,K25004,-0.282836547,Others
4904,K18928,-0.275219,Others
4905,K07680,-0.271974495,Others
4906,K00116,-0.269153184,Carbon
4907,K21624,-0.269153184,Others
4908,K21954,-0.269153184,Others
4909,K02003,-0.26830679,Others
4910,K05942,-0.267742527,Carbon
4911,K17725,-0.267742527,Others
4912,K16013,-0.266331871,Others
4913,K19690,-0.266331871,Others
4914,K22232,-0.266331871,Others
4915,K25570,-0.266331871,Others
4916,K09003,-0.264921215,Others
4917,K13700,-0.264921215,Others
4918,K14735,-0.264921215,Others
4919,K18299,-0.264921215,Others
4920,K19548,-0.264921215,Others
4921,K19837,-0.264921215,Others
4922,K22547,-0.264921215,Others
4923,K23246,-0.264921215,Others
4924,K03672,-0.26393376,Others
4925,K01244,-0.263510559,Others
4926,K01663,-0.263510559,Others
4927,K02239,-0.263510559,Others
4928,K02637,-0.263510559,ATP
4929,K04525,-0.263510559,Others
4930,K04955,-0.263510559,Others
4931,K06561,-0.263510559,Others
4932,K06906,-0.263510559,Others
4933,K07119,-0.263510559,Others
4934,K07387,-0.263510559,Others
4935,K07700,-0.263510559,Others
4936,K08677,-0.263510559,Others
4937,K08743,-0.263510559,Others
4938,K09287,-0.263510559,Others
4939,K10011,-0.263510559,Carbon
4940,K10458,-0.263510559,Others
4941,K10531,-0.263510559,Others
4942,K10682,-0.263510559,Others
4943,K10875,-0.263510559,Others
4944,K10938,-0.263510559,Others
4945,K10939,-0.263510559,Others
4946,K11426,-0.263510559,Others
4947,K12855,-0.263510559,Others
4948,K13126,-0.263510559,Others
4949,K13615,-0.263510559,Others
4950,K13632,-0.263510559,Others
4951,K14339,-0.263510559,Others
4952,K14427,-0.263510559,Others
4953,K16462,-0.263510559,Others
4954,K17215,-0.263510559,Others
4955,K17364,-0.263510559,Others
4956,K17513,-0.263510559,Others
4957,K17964,-0.263510559,Others
4958,K18022,-0.263510559,Carbon
4959,K18195,-0.263510559,Others
4960,K18370,-0.263510559,Others
4961,K19069,-0.263510559,Others
4962,K19232,-0.263510559,Others
4963,K19431,-0.263510559,Others
4964,K19797,-0.263510559,Others
4965,K20550,-0.263510559,Others
4966,K21434,-0.263510559,Others
4967,K21457,-0.263510559,Others
4968,K21586,-0.263510559,Others
4969,K21899,-0.263510559,Others
4970,K22874,-0.263510559,Others
4971,K23061,-0.263510559,Others
4972,K23103,-0.263510559,Others
4973,K23273,-0.263510559,Others
4974,K23440,-0.263510559,Others
4975,K24003,-0.263510559,Others
4976,K24303,-0.263510559,Others
4977,K24924,-0.263510559,Others
4978,K25111,-0.263510559,Others
4979,K07318,-0.256880475,Others
4980,K03556,-0.25589301,Others
4981,K05578,-0.25307171,ATP
4982,K02275,-0.25278958,ATP
4983,K00364,-0.252648506,Others
4984,K13954,-0.25166105,Others
4985,K16710,-0.25166105,Others
4986,K05928,-0.251237851,Cofactor & Vitamin
4987,K13503,-0.251237851,Carbon
4988,K08322,-0.25025039,Others
4989,K22424,-0.248416539,Others
4990,K03736,-0.247005882,Others
4991,K07694,-0.247005882,Others
4992,K12513,-0.247005882,Others
4993,K22382,-0.247005882,Others
4994,K01568,-0.245595226,Others
4995,K11632,-0.245595226,Others
4996,K14596,-0.245595226,Others
4997,K16701,-0.245595226,Others
4998,K22303,-0.245595226,Others
4999,K03597,-0.24079899,Others
5000,K21591,-0.231911862,Others
5001,K09987,-0.23092441,Others
5002,K20469,-0.23092441,Others
5003,K06468,-0.230501206,Others
5004,K23465,-0.230501206,Others
5005,K13940,-0.22909055,Cofactor & Vitamin
5006,K21232,-0.22909055,Others
5007,K01062,-0.227679894,Others
5008,K02200,-0.227679894,Others
5009,K08002,-0.227679894,Others
5010,K18067,-0.227679894,Others
5011,K01205,-0.226269237,Others
5012,K02009,-0.226269237,Others
5013,K02800,-0.226269237,Others
5014,K10210,-0.226269237,Others
5015,K10270,-0.226269237,Others
5016,K11022,-0.226269237,Others
5017,K11231,-0.226269237,Others
5018,K12880,-0.226269237,Others
5019,K13925,-0.226269237,Others
5020,K16076,-0.226269237,Others
5021,K16249,-0.226269237,Others
5022,K16651,-0.226269237,Others
5023,K17710,-0.226269237,Others
5024,K18148,-0.226269237,Others
5025,K18951,-0.226269237,Others
5026,K19438,-0.226269237,Others
5027,K19545,-0.226269237,Others
5028,K20934,-0.226269237,Others
5029,K21449,-0.226269237,Others
5030,K22598,-0.226269237,Others
5031,K22296,-0.22570498,Others
5032,K21310,-0.22556391,Others
5033,K16653,-0.22006235,Others
5034,K07141,-0.21992128,Others
5035,K00411,-0.21766423,ATP
5036,K07536,-0.215407186,Others
5037,K14208,-0.21399653,Others
5038,K11939,-0.211175217,Others
5039,K01371,-0.209764561,Others
5040,K00929,-0.208353905,Others
5041,K06377,-0.208353905,Others
5042,K09531,-0.208353905,Others
5043,K15893,-0.208353905,Carbon
5044,K19621,-0.208353905,Others
5045,K23468,-0.208353905,Others
5046,K00100,-0.20694325,Others
5047,K00139,-0.20694325,Others
5048,K00461,-0.20694325,Others
5049,K00750,-0.20694325,Carbon
5050,K00880,-0.20694325,Others
5051,K01019,-0.20694325,Others
5052,K01035,-0.20694325,Others
5053,K01131,-0.20694325,Others
5054,K01346,-0.20694325,Others
5055,K02365,-0.20694325,Others
5056,K02577,-0.20694325,Others
5057,K03352,-0.20694325,Others
5058,K03675,-0.20694325,Others
5059,K03691,-0.20694325,Others
5060,K03871,-0.20694325,Others
5061,K03894,-0.20694325,Others
5062,K03896,-0.20694325,Others
5063,K03933,-0.20694325,Others
5064,K04128,-0.20694325,Others
5065,K04551,-0.20694325,Others
5066,K04789,-0.20694325,Others
5067,K04954,-0.20694325,Others
5068,K05687,-0.20694325,Others
5069,K05804,-0.20694325,Others
5070,K05877,-0.20694325,Others
5071,K05918,-0.20694325,Others
5072,K06817,-0.20694325,Others
5073,K06822,-0.20694325,Others
5074,K06825,-0.20694325,Others
5075,K08368,-0.20694325,Others
5076,K09502,-0.20694325,Others
5077,K09572,-0.20694325,Others
5078,K09758,-0.20694325,Others
5079,K09846,-0.20694325,Others
5080,K09855,-0.20694325,Others
5081,K09997,-0.20694325,Others
5082,K10453,-0.20694325,Others
5083,K10549,-0.20694325,Others
5084,K10701,-0.20694325,Others
5085,K10811,-0.20694325,Others
5086,K10860,-0.20694325,Others
5087,K11018,-0.20694325,Others
5088,K11533,-0.20694325,Others
5089,K11628,-0.20694325,Others
5090,K11946,-0.20694325,Others
5091,K12055,-0.20694325,Others
5092,K12060,-0.20694325,Others
5093,K12072,-0.20694325,Others
5094,K12439,-0.20694325,Others
5095,K12688,-0.20694325,Others
5096,K12743,-0.20694325,Others
5097,K13471,-0.20694325,Others
5098,K14459,-0.20694325,Others
5099,K14466,-0.20694325,Carbon
5100,K14607,-0.20694325,Others
5101,K14650,-0.20694325,Others
5102,K14978,-0.20694325,Others
5103,K15045,-0.20694325,Others
5104,K15451,-0.20694325,Others
5105,K15630,-0.20694325,Others
5106,K15751,-0.20694325,Others
5107,K15846,-0.20694325,Others
5108,K15852,-0.20694325,Others
5109,K16123,-0.20694325,Others
5110,K16547,-0.20694325,Others
5111,K16781,-0.20694325,Others
5112,K16964,-0.20694325,Others
5113,K17561,-0.20694325,Others
5114,K18173,-0.20694325,Others
5115,K18226,-0.20694325,Others
5116,K19001,-0.20694325,Others
5117,K19070,-0.20694325,Others
5118,K19144,-0.20694325,Others
5119,K19962,-0.20694325,Others
5120,K19969,-0.20694325,Others
5121,K20047,-0.20694325,Others
5122,K20238,-0.20694325,Others
5123,K20328,-0.20694325,Others
5124,K20369,-0.20694325,Others
5125,K20539,-0.20694325,Others
5126,K20844,-0.20694325,Others
5127,K20846,-0.20694325,Others
5128,K21267,-0.20694325,Others
5129,K21618,-0.20694325,Others
5130,K21825,-0.20694325,Others
5131,K21866,-0.20694325,Others
5132,K22124,-0.20694325,Others
5133,K22218,-0.20694325,Others
5134,K22291,-0.20694325,Others
5135,K22502,-0.20694325,Others
5136,K22909,-0.20694325,Others
5137,K23104,-0.20694325,Others
5138,K23274,-0.20694325,Others
5139,K24002,-0.20694325,Others
5140,K24178,-0.20694325,Others
5141,K24470,-0.20694325,Others
5142,K24633,-0.20694325,Others
5143,K24831,-0.20694325,Others
5144,K25109,-0.20694325,Others
5145,K25187,-0.20694325,Others
5146,K25190,-0.20694325,Others
5147,K25260,-0.20694325,Others
5148,K25537,-0.20694325,Others
5149,K24305,-0.197491854,Others
5150,K18588,-0.19551694,Others
5151,K22886,-0.193259885,Others
5152,K01195,-0.191849229,Carbon
5153,K10823,-0.191849229,Others
5154,K16294,-0.191849229,Others
5155,K06674,-0.190438572,Others
5156,K06986,-0.190438572,Others
5157,K24033,-0.190438572,Others
5158,K00026,-0.189027917,Carbon
5159,K00290,-0.189027917,Others
5160,K02228,-0.189027917,Cofactor & Vitamin
5161,K04460,-0.189027917,Others
5162,K06033,-0.189027917,Others
5163,K07248,-0.189027917,Others
5164,K07744,-0.189027917,Others
5165,K13281,-0.189027917,Others
5166,K14555,-0.189027917,Others
5167,K14974,-0.189027917,Cofactor & Vitamin
5168,K16562,-0.189027917,Others
5169,K20813,-0.189027917,Others
5170,K21435,-0.189027917,Others
5171,K22955,-0.189027917,Others
5172,K23303,-0.189027917,Others
5173,K24459,-0.189027917,Others
5174,K15046,-0.185219145,Others
5175,K22408,-0.180987178,Others
5176,K17324,-0.179576521,Others
5177,K00221,-0.17576775,Others
5178,K18208,-0.173933896,Others
5179,K01866,-0.1735107,Others
5180,K06973,-0.17336964,Others
5181,K06930,-0.172523241,Others
5182,K17741,-0.172523241,Others
5183,K21993,-0.172523241,Others
5184,K08757,-0.171112585,Others
5185,K15020,-0.171112585,Carbon
5186,K15066,-0.171112585,Others
5187,K00105,-0.169701929,Others
5188,K01020,-0.169701929,Others
5189,K01252,-0.169701929,Others
5190,K05593,-0.169701929,Others
5191,K06037,-0.169701929,Others
5192,K06548,-0.169701929,Others
5193,K07690,-0.169701929,Others
5194,K08106,-0.169701929,Others
5195,K08193,-0.169701929,Others
5196,K08265,-0.169701929,Others
5197,K10402,-0.169701929,Others
5198,K10481,-0.169701929,Others
5199,K10676,-0.169701929,Others
5200,K12544,-0.169701929,Others
5201,K12548,-0.169701929,Others
5202,K12567,-0.169701929,Others
5203,K13021,-0.169701929,Others
5204,K14051,-0.169701929,Others
5205,K14663,-0.169701929,Others
5206,K15328,-0.169701929,Others
5207,K15912,-0.169701929,Others
5208,K17619,-0.169701929,Others
5209,K18332,-0.169701929,Others
5210,K18675,-0.169701929,Others
5211,K19572,-0.169701929,Others
5212,K19659,-0.169701929,Others
5213,K20118,-0.169701929,Others
5214,K20334,-0.169701929,Others
5215,K21488,-0.169701929,Others
5216,K22302,-0.169701929,Others
5217,K22882,-0.169701929,Others
5218,K23975,-0.169701929,Others
5219,K24254,-0.169701929,Others
5220,K24914,-0.169701929,Others
5221,K08591,-0.16278971,Others
5222,K16239,-0.160250533,Others
5223,K12454,-0.15644176,Others
5224,K10450,-0.156018564,Others
5225,K22994,-0.156018564,Others
5226,K07455,-0.154607909,Others
5227,K00055,-0.153197252,Others
5228,K15552,-0.153197252,Others
5229,K23003,-0.153197252,Others
5230,K01559,-0.151786596,Others
5231,K06979,-0.151786596,Others
5232,K09018,-0.151786596,Others
5233,K09162,-0.151786596,Others
5234,K19199,-0.151786596,Others
5235,K20853,-0.151786596,Others
5236,K22343,-0.151786596,Others
5237,K24411,-0.151786596,Others
5238,K00032,-0.15037594,Others
5239,K00062,-0.15037594,Others
5240,K00072,-0.15037594,Cofactor & Vitamin
5241,K00223,-0.15037594,Others
5242,K00326,-0.15037594,Others
5243,K00357,-0.15037594,Others
5244,K00443,-0.15037594,Others
5245,K00562,-0.15037594,Others
5246,K00622,-0.15037594,Others
5247,K00670,-0.15037594,Others
5248,K00671,-0.15037594,Others
5249,K00706,-0.15037594,Others
5250,K00726,-0.15037594,Others
5251,K00913,-0.15037594,Carbon
5252,K01128,-0.15037594,Others
5253,K01158,-0.15037594,Others
5254,K01177,-0.15037594,Others
5255,K01188,-0.15037594,Others
5256,K01204,-0.15037594,Others
5257,K01253,-0.15037594,Others
5258,K01282,-0.15037594,Others
5259,K01310,-0.15037594,Others
5260,K01311,-0.15037594,Others
5261,K01326,-0.15037594,Others
5262,K01364,-0.15037594,Others
5263,K01376,-0.15037594,Others
5264,K01382,-0.15037594,Others
5265,K01389,-0.15037594,Others
5266,K01395,-0.15037594,Others
5267,K01413,-0.15037594,Others
5268,K01440,-0.15037594,Others
5269,K01502,-0.15037594,Others
5270,K01514,-0.15037594,Others
5271,K01861,-0.15037594,Others
5272,K01931,-0.15037594,Others
5273,K02202,-0.15037594,Others
5274,K02209,-0.15037594,Others
5275,K02213,-0.15037594,Others
5276,K02304,-0.15037594,Cofactor & Vitamin
5277,K02632,-0.15037594,Others
5278,K02647,-0.15037594,Others
5279,K02739,-0.15037594,Others
5280,K02854,-0.15037594,Others
5281,K02855,-0.15037594,Others
5282,K03015,-0.15037594,Others
5283,K03145,-0.15037594,Others
5284,K03164,-0.15037594,Others
5285,K03233,-0.15037594,Others
5286,K03287,-0.15037594,Others
5287,K03358,-0.15037594,Others
5288,K03380,-0.15037594,Others
5289,K03403,-0.15037594,Others
5290,K03477,-0.15037594,Others
5291,K03633,-0.15037594,Others
5292,K03755,-0.15037594,Others
5293,K03757,-0.15037594,Others
5294,K03848,-0.15037594,Others
5295,K03875,-0.15037594,Others
5296,K03986,-0.15037594,Others
5297,K03996,-0.15037594,Others
5298,K04035,-0.15037594,Others
5299,K04054,-0.15037594,Others
5300,K04056,-0.15037594,Others
5301,K04124,-0.15037594,Others
5302,K04126,-0.15037594,Others
5303,K04307,-0.15037594,Others
5304,K04333,-0.15037594,Others
5305,K04336,-0.15037594,Others
5306,K04361,-0.15037594,Others
5307,K04397,-0.15037594,Others
5308,K04572,-0.15037594,Others
5309,K04591,-0.15037594,Others
5310,K04600,-0.15037594,Others
5311,K04628,-0.15037594,Others
5312,K04734,-0.15037594,Others
5313,K04792,-0.15037594,Others
5314,K04884,-0.15037594,Others
5315,K04906,-0.15037594,Others
5316,K04949,-0.15037594,Others
5317,K05116,-0.15037594,Others
5318,K05141,-0.15037594,Others
5319,K05195,-0.15037594,Others
5320,K05236,-0.15037594,Others
5321,K05466,-0.15037594,Others
5322,K05586,-0.15037594,Others
5323,K05672,-0.15037594,Others
5324,K05711,-0.15037594,Others
5325,K05775,-0.15037594,Others
5326,K05790,-0.15037594,Others
5327,K06074,-0.15037594,Others
5328,K06089,-0.15037594,Others
5329,K06099,-0.15037594,Others
5330,K06229,-0.15037594,Others
5331,K06254,-0.15037594,Others
5332,K06255,-0.15037594,Others
5333,K06258,-0.15037594,Others
5334,K06270,-0.15037594,Others
5335,K06335,-0.15037594,Others
5336,K06462,-0.15037594,Others
5337,K06534,-0.15037594,Others
5338,K06544,-0.15037594,Others
5339,K06573,-0.15037594,Others
5340,K06612,-0.15037594,Others
5341,K06616,-0.15037594,Others
5342,K06653,-0.15037594,Others
5343,K06667,-0.15037594,Others
5344,K06679,-0.15037594,Others
5345,K06687,-0.15037594,Others
5346,K06760,-0.15037594,Others
5347,K06761,-0.15037594,Others
5348,K06763,-0.15037594,Others
5349,K06778,-0.15037594,Others
5350,K06792,-0.15037594,Others
5351,K07198,-0.15037594,Others
5352,K07310,-0.15037594,Others
5353,K07359,-0.15037594,Others
5354,K07430,-0.15037594,Others
5355,K07518,-0.15037594,Others
5356,K07545,-0.15037594,Others
5357,K07553,-0.15037594,Others
5358,K07603,-0.15037594,Others
5359,K07719,-0.15037594,Others
5360,K07757,-0.15037594,Others
5361,K07818,-0.15037594,Others
5362,K08080,-0.15037594,Others
5363,K08102,-0.15037594,Others
5364,K08115,-0.15037594,Others
5365,K08135,-0.15037594,Others
5366,K08192,-0.15037594,Others
5367,K08272,-0.15037594,Others
5368,K08279,-0.15037594,Others
5369,K08428,-0.15037594,Others
5370,K08446,-0.15037594,Others
5371,K08592,-0.15037594,Others
5372,K08627,-0.15037594,Others
5373,K08649,-0.15037594,Others
5374,K08673,-0.15037594,Others
5375,K08721,-0.15037594,Others
5376,K08739,-0.15037594,Others
5377,K08752,-0.15037594,Others
5378,K08765,-0.15037594,Others
5379,K08786,-0.15037594,Others
5380,K08857,-0.15037594,Others
5381,K08861,-0.15037594,Others
5382,K08877,-0.15037594,Others
5383,K08927,-0.15037594,Others
5384,K08928,-0.15037594,Others
5385,K08929,-0.15037594,Others
5386,K08942,-0.15037594,Others
5387,K08991,-0.15037594,Others
5388,K09043,-0.15037594,Others
5389,K09149,-0.15037594,Others
5390,K09228,-0.15037594,Others
5391,K09256,-0.15037594,Others
5392,K09258,-0.15037594,Others
5393,K09313,-0.15037594,Others
5394,K09463,-0.15037594,Others
5395,K09469,-0.15037594,Others
5396,K09514,-0.15037594,Others
5397,K09534,-0.15037594,Others
5398,K09611,-0.15037594,Others
5399,K09614,-0.15037594,Others
5400,K09624,-0.15037594,Others
5401,K09632,-0.15037594,Others
5402,K09634,-0.15037594,Others
5403,K09637,-0.15037594,Others
5404,K09647,-0.15037594,Others
5405,K09669,-0.15037594,Others
5406,K09865,-0.15037594,Others
5407,K09925,-0.15037594,Others
5408,K09944,-0.15037594,Others
5409,K09999,-0.15037594,Others
5410,K10063,-0.15037594,Others
5411,K10066,-0.15037594,Others
5412,K10194,-0.15037594,Others
5413,K10195,-0.15037594,Others
5414,K10257,-0.15037594,Others
5415,K10281,-0.15037594,Others
5416,K10290,-0.15037594,Others
5417,K10327,-0.15037594,Others
5418,K10329,-0.15037594,Others
5419,K10342,-0.15037594,Others
5420,K10350,-0.15037594,Others
5421,K10374,-0.15037594,Others
5422,K10376,-0.15037594,Others
5423,K10385,-0.15037594,Others
5424,K10392,-0.15037594,Others
5425,K10395,-0.15037594,Others
5426,K10405,-0.15037594,Others
5427,K10431,-0.15037594,Others
5428,K10475,-0.15037594,Others
5429,K10587,-0.15037594,Others
